"nb","fi"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Lyhyesti testistä"
"Spørsmål","Kysymykset"
"Resultat","Tulos"
"Om testen","Tietoa testistä"
"Skift språk","Vaihda kieli"
"Beregn resultat","Laske tulos"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Vedä jokaista liukua valitaksesi, kuinka hyvin väite on pitänyt paikkansa ajan mittaan."
"Tolkning","Tulkinta"
"Gjennomsnittsskår","Keskiarvopisteet"
"Hva betyr skåren?","Mitä piste tarkoittaa?"
"Forbehold","Huomioitavaa"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Kliininen arviointi edellyttää kehityshistoriaa, toimintakykyä ja ammatillista harkintaa."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Ihmisillä voi olla vahvoja rutiineja tai selvä aistiherkkyys ilman että se liittyy autismiin."
"Stemmer ikke","Ei sovi"
"Litt","Hieman"
"Delvis","Osittain"
"Ganske","Melko paljon"
"Stemmer helt","Pitää täysin paikkansa"
"Du må svare på alle utsagn før resultatet kan beregnes.","Sinun on vastattava kaikkiin väittämiin ennen kuin tulos voidaan laskea."
"Sendt","Lähetetty"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Minun täytyy harvoin arvata, mitä ihmiset oikeasti tarkoittavat puhuessaan epäsuorasti."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Äkilliset suunnitelmien muutokset saavat minut harvoin kovin levottomaksi."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Kovat äänet, kirkkaat valot tai muut aistimukset kuormittavat minua harvoin liikaa."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Selviän yleensä sosiaalisista säännöistä ja odotuksista ilman, että minun tarvitsee ajatella niitä paljon."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Minun täytyy harvoin valmistella tai harjoitella sitä, mitä aion sanoa sosiaalisissa tilanteissa."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Ymmärrän yleensä ironian, huumorin ja epäsuorat viestit melko helposti."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Sosiaalinen yhdessäolo vie minulta harvoin niin paljon voimia, että tarvitsen pitkään aikaa yksin sen jälkeen."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Tarvitsen harvoin selkeitä rutiineja voidakseni tuntea oloni turvalliseksi arjessa."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Harvoin uppoudun erityisen voimakkaasti erikoisintresseihin niin, että se haittaa muita tehtäviäni."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Koen yleensä katsekontaktin, kehonkielen ja pienet sosiaaliset vihjeet melko luonnollisina käsitellä."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Tunnen harvoin tarvetta peittää itseäni tai esittää roolia sopiakseni joukkoon sosiaalisesti."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Pienet muutokset järjestyksessä tai rutiineissa saavat minut harvoin selvästi levottomaksi."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Minun täytyy harvoin vetäytyä pois, koska aistimukset käyvät liian voimakkaiksi."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Vastauksesi osoittavat vain vähän piirteitä, jotka muistuttavat autismiin usein liitettyjä hankauksia."
"Hverdagen virker stabil og forutsigbar.","Arki vaikuttaa vakaalta ja ennustettavalta."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Profiilisi on hyvin normaalin vaihtelun sisällä: joitakin vahvuuksia, vähän kitkaa, mutta ei mitään, mikä osoittaisi selvästi yhteen suuntaan."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Vastauksissasi on joitakin piirteitä, jotka voivat muistuttaa autismia, mutta ne voivat yhtä hyvin liittyä persoonallisuuteen, kokemuksiin, stressiin tai elämäntilanteeseen."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Kuvaat useita alueita, jotka aiheuttavat usein vaikeuksia autismissa. Tämä ei edelleenkään ole diagnoosi, mutta tarkempi arvio voi olla hyödyllinen, jos tämä aiheuttaa ongelmia arjessa."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Tämä on yksinkertainen pohdintasivu, ei diagnostinen testi."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Se kysyy piirteistä, joita usein mainitaan autismiin liittyen, erityisesti sosiaalisesta tulkinnasta, aistimisesta, rutiineista ja maskaamisesta."
"Den kan ikke bekrefte eller avkrefte autisme.","Se ei voi vahvistaa eikä sulkea pois autismia."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Sen tarkoitus on näyttää, miltä näyttää malli, jossa on vähän sosiaalista, sensorista ja rutiineihin liittyvää kitkaa."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Jos olet epävarma tai jos tämä vaikuttaa arkeesi, sinun kannattaa puhua ammattilaisten kanssa."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Piste on kolmentoista pääväitteen yksinkertainen keskiarvo."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Korkeampi piste tarkoittaa, että vastauksesi muistuttavat vähemmän mallia, johon liittyy sosiaalista, sensorista ja rutiineihin liittyvää kitkaa ja jota usein kuvataan autismissa."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Matalampi piste tarkoittaa, että vastauksesi muistuttavat enemmän tällaista mallia."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Tämä ei ole diagnoosi, eikä tälle sivulle ole vielä olemassa vakiintunutta normia. Käytä pistettä pohjana pohdinnalle, älä lopullisena vastauksena."
