"nb","lt"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Trumpai apie testą"
"Spørsmål","Klausimai"
"Resultat","Rezultatas"
"Om testen","Apie testą"
"Skift språk","Keisti kalbą"
"Beregn resultat","Apskaičiuoti rezultatą"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Patraukite kiekvieną slankiklį ir nurodykite, kiek teiginys jums tiko per ilgesnį laiką."
"Tolkning","Interpretacija"
"Gjennomsnittsskår","Vidutinis rezultatas"
"Hva betyr skåren?","Ką reiškia balas?"
"Forbehold","Išlygos"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Klinikinis vertinimas apima raidos istoriją, kasdienį funkcionavimą ir specialisto vertinimą."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Žmonės gali turėti stiprias rutinas arba ryškų jutiminį jautrumą, ir tai nebūtinai susiję su autizmu."
"Stemmer ikke","Netinka"
"Litt","Šiek tiek"
"Delvis","Iš dalies"
"Ganske","Gana gerai"
"Stemmer helt","Visiškai tinka"
"Du må svare på alle utsagn før resultatet kan beregnes.","Prieš apskaičiuojant rezultatą reikia atsakyti į visus teiginius."
"Sendt","Išsiųsta"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Retai man reikia spėlioti, ką žmonės iš tikrųjų turi omenyje, kai kalba netiesiogiai."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Staigūs planų pokyčiai mane retai labai sujaudina."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Garsūs garsai, ryškios šviesos ar kiti jutiminiai dirgikliai mane retai per daug užvaldo."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Paprastai susitvarkau su socialinėmis taisyklėmis ir lūkesčiais daug apie juos negalvodamas."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Retai man reikia pasiruošti ar pasitreniruoti, ką sakysiu socialinėse situacijose."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Paprastai ironiją, humorą ir netiesiogines užuominas suprantu gana lengvai."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Buvimas su kitais mane retai taip išvargina, kad po to ilgai reikėtų pabūti vienam."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Retai man reikia griežtų rutinų, kad kasdienybėje jausčiausi saugiai."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Retai mane taip stipriai įtraukia ypatingi pomėgiai, kad tai trukdytų kitiems mano darbams."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Paprastai akių kontaktą, kūno kalbą ir mažus socialinius signalus man gana natūralu valdyti."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Retai jaučiu poreikį slėpti save ar vaidinti vaidmenį, kad socialiai pritapčiau."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Nedideli eiliškumo ar rutinos pokyčiai mane retai aiškiai sunervina."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Retai tenka pasitraukti, nes jutiminiai dirgikliai tampa per stiprūs."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Jūsų atsakymai rodo nedaug bruožų, panašių į su autizmu siejamus sunkumus, kuriuos dažnai matome autizmo atveju."
"Hverdagen virker stabil og forutsigbar.","Kasdienis gyvenimas atrodo stabilus ir nuspėjamas."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Jūsų profilis gerai telpa į įprastą įvairovę: keli stiprūs bruožai, šiek tiek trinties, bet niekas aiškiai nerodo viena kryptimi."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Jūs nurodote kelis bruožus, kurie gali priminti autizmą, bet tai lygiai taip pat gali būti susiję su asmenybe, patirtimis, stresu ar gyvenimo situacija."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Aprašote kelias sritis, kurios dažnai kelia sunkumų esant autizmui. Tai vis dar nėra diagnozė, bet jei tai kelia problemų kasdienybėje, gali būti verta atlikti oficialesnį įvertinimą."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Tai paprastas apmąstymų puslapis, ne diagnostinis testas."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Jis klausia apie bruožus, kurie dažnai minimi kalbant apie autizmą, ypač socialinį aiškinimą, jutimus, rutinas ir maskavimą."
"Den kan ikke bekrefte eller avkrefte autisme.","Jis negali patvirtinti ar atmesti autizmo."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Jis sukurtas parodyti, kaip gali atrodyti modelis su mažu socialiniu, jutiminiu ir rutinos keliamu trinties lygiu."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Jei nesate tikri arba jei tai veikia kasdienį gyvenimą, turėtumėte pasikalbėti su specialistais."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Balas yra paprastas trylikos pagrindinių teiginių vidurkis."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Didesnis balas reiškia, kad jūsų atsakymai mažiau panašūs į modelį su socialine, jutimine ir rutinos trintimi, dažnai aprašomu esant autizmui."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Mažesnis balas reiškia, kad jūsų atsakymai labiau panašūs į tokį modelį."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Tai nėra diagnozė, ir šiam puslapiui dar nėra nustatytos normos. Naudokite balą kaip atspirties tašką apmąstymams, ne kaip galutinį atsakymą."
