"nb","se"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Korte sániin"
"Spørsmål","Jearaldagat"
"Resultat","Bohtosa"
"Om testen","Om testa"
"Skift språk","Šeaŋggat giela"
"Beregn resultat","Rehkenastte bohtosa"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Sirdde juoga geavaheaddji áššiid válljemiiguin vai fuotnavuođat ođasmahttojuvvojit áiggi mielde."
"Tolkning","Jearaldat"
"Gjennomsnittsskår","Ovttastat čuoggáŋ"
"Hva betyr skåren?","Maid mearkkaša skårra?"
"Forbehold","Viehkkimusat"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Earádiagnostihkalaš dáhkku galgá čuovvut ovdánahttinhistorjjá, funkšuvnna ja fágalaš dieđuid."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Olbmuin sáhttet leat nana rutiinnat dahje čielga sensašuvdnadoarjagat almmá ahte dat leat autismii guoskevaš."
"Stemmer ikke","Ii heive"
"Litt","Unnit"
"Delvis","Oassi"
"Ganske","Arggat"
"Stemmer helt","Heivet ollu"
"Du må svare på alle utsagn før resultatet kan beregnes.","Don fertet vástidit buot dadjamušaide ovdal go bohtosii sáhttá räkknit."
"Sendt","Sádde"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Mun dárbbašan unnit áddet maid olbmot dárkkuhit go sii hupmet eará láhkái."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Njuolgga plánarievdadusat dahket mu áhččehis unnit garrahan."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Jiekŋat jietna, čielga čuovga dahje eará sensašuvnnat eai dábálaččat garrahan mu."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Mun dábálaččat hálddašan sosiála njuolggadusaid ja vuordámušaid almmá ahte mun ferten jurddahit daid ollu."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Mun dárbbašan unnit válmmaštallat dahje geahččalit maid mun galggan dadjat sosiála dilis."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Mun dábálaččat ipmiran ironia, humora ja indirekta vižžagiid almmá stuorra barggu."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Sosiála oktavuohta tummer mu unnit nu ahte mun dárbbašan guhkes áiggi iežan luhtte maŋŋel."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Mun dárbbašan unnit čadnat rutiinnat vai oainnán iežan dorvvolažžan arjjas."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Mun šaddan unnit nu uppot earenoamáš beroštumiidda ahte dat hehtte eará bargguid maid mun fertešon dahkat."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Mun dábálaččat oainnán čalmmiiguin oktavuođa, kroppigiella ja unnit sosiála signálaid goit vel hálddašit."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Mun dárbbašan unnit čájehit iežan dahje speallat roalla vai heivešin sosiálalaččat."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Unnit rievdadusat vuorrovuođus dahje rutiinnain eai dábálaččat dagat mu čielgasit eahpesihkarin."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Mun dárbbašan unnit váldit iežan eret go sensašuvnnat šaddet unuhit."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Dinna vástádusat čájehit unnán mearkkaid mat gullet autismii guoskevaš friksjouvnnaide maid dábálaččat oaidnit autismii."
"Hverdagen virker stabil og forutsigbar.","Argaibeaivi oažžu stabila ja ennustikkevaš."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Mønsterat dinnas lea bures normála variáhtio gaskan: muhtun nana bealit, unnán friksjovdna, muhto ii mihkkege mii čujuhivččii čielga ovtta geaidnogáldái."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Don dieđihat moaittá mearkkaid mat sáhttet muistalit autismii, muhto dat sáhttet maiddái vuhtii váldit persovdna, vásáhusat, stressa dahje eallindili."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Don čilget eanet guovlluid mat dávjá dagahit váttisvuođaid autismii. Dat ii leat vel diagnosa, muhto eanet formála ođđasitgeahčču sáhttá leat ávkkálaš jus dát dagaha problemid arjjas."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Dat lea ovttažilbmot reflekšuvdnasiidu, ii diagnostalaš testa."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Dat gohčču mearkkaid maid dávjá namuhit autismii guoskevaš, earet vuhtii sosiála dulkoma, sensašuvnnaid, rutiinnaid ja maska."
"Den kan ikke bekrefte eller avkrefte autisme.","Dat ii sáhte duođaštit dahje vuordit autismii."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Dat lea ráhkaduvvon čájeheami várás mo lea mönsterat mas lea unnán sosiála, sensorala ja rutiinnaid guoskevaš friksjovdna."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Jus leat eahpidit, dahje jus dat váikkuha arjii, de galggat hupmat fágalaččaiguin."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Skårra lea kolmentjehtan oaivvildama ovttažilbmot gaskaárvvo."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Eanet skårra mearkkaša ahte din vástádusat eai likke nu olu mönsterii mas lea sosiála, sensorala ja rutiinnaid guoskevaš friksjovdna maid dávjá čilge autismii."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Unnit skårra mearkkaša ahte din vástádusat likke eanet dan mönsterii."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Dat ii leat diagnosa, ja dáidá siidan ii leat vel njuolggo normma. Geavat skårra almmá čielga mearrádusa gohčodussan reflekteret, ii loahpalaš vástádussan."
